id	id_documento	token	classificacao
246	1	ex	O
247	1	-	O
248	1	assessor	O
249	1	a	O
250	1	relação	O
251	1	de	O
252	1	amizade	O
253	1	entre	O
254	1	o	O
255	1	filho	O
256	1	do	O
257	1	ex	O
258	1	-	O
259	1	presidente	O
260	1	e	O
261	1	o	O
262	1	instru	O
263	1	##tor	O
264	1	de	O
265	1	tiros	O
266	1	[SEP]	O
267	1	[CLS]	O
268	1	Segundo	O
269	1	Pu	B-PESSOA
270	1	##pe	B-PESSOA
271	1	,	O
272	1	os	O
273	1	três	O
274	1	viaja	O
275	1	##vam	O
276	1	juntos	O
277	1	[SEP]	O
278	1	[CLS]	O
279	1	A	O
280	1	empresa	O
281	1	de	O
282	1	eventos	O
283	1	na	O
284	1	qual	O
285	1	Diego	B-PESSOA
286	1	Pu	I-PESSOA
287	1	##pe	I-PESSOA
288	1	trabalhava	O
289	1	com	O
290	1	Jair	B-PESSOA
291	1	Rena	I-PESSOA
292	1	##n	I-PESSOA
293	1	também	O
294	1	foi	O
295	1	repass	O
296	1	##ada	O
297	1	para	O
298	1	Marco	B-PESSOA
299	1	Aurélio	I-PESSOA
300	1	Alves	I-PESSOA
301	1	em	O
302	1	março	B-TEMPO
303	1	deste	I-TEMPO
304	1	ano	I-TEMPO
305	1	,	O
306	1	mesma	O
307	1	pessoa	O
308	1	que	O
309	1	recebeu	O
310	1	o	O
311	1	clube	O
312	1	de	O
313	1	tiros	O
314	1	[SEP]	O
315	1	[CLS]	O
316	1	A	O
317	1	polícia	O
318	1	investi	O
319	1	##ga	O
320	1	ele	O
321	1	como	O
322	1	um	O
323	1	“	O
324	1	elo	O
325	1	”	O
326	1	de	O
327	1	possível	O
328	1	lavagem	O
329	1	de	O
330	1	dinheiro	O
331	1	[SEP]	O
332	1	[CLS]	O
333	1	À	O
334	1	CN	B-ORGANIZACAO
335	1	##N	B-ORGANIZACAO
336	1	,	O
337	1	o	O
338	1	ex	O
339	1	-	O
340	1	assessor	O
341	1	adia	O
342	1	##ntou	O
343	1	que	O
344	1	responder	O
345	1	##á	O
346	1	todas	O
347	1	as	O
348	1	perguntas	O
349	1	dos	O
350	1	investigadores	O
351	1	,	O
352	1	quando	O
353	1	for	O
354	1	intim	O
355	1	##ado	O
356	1	formalmente	O
357	1	[SEP]	O
358	1	[CLS]	O
359	1	A	O
360	1	investigação	O
361	1	##O	O
362	1	principal	O
363	1	alvo	O
364	1	da	O
365	1	operação	O
366	1	de	O
367	1	on	O
368	1	##tem	O
369	1	foi	O
370	1	justamente	O
371	1	Maci	B-PESSOA
372	1	##el	B-PESSOA
373	1	Alves	I-PESSOA
374	1	de	I-PESSOA
375	1	Carvalho	I-PESSOA
376	1	,	O
377	1	acusado	O
378	1	de	O
379	1	ser	O
380	1	o	O
381	1	cabeça	O
382	1	do	O
383	1	esquema	O
384	1	e	O
385	1	instru	O
386	1	##tor	O
387	1	de	O
388	1	tiro	O
389	1	de	O
390	1	Jair	B-PESSOA
391	1	Rena	I-PESSOA
392	1	##n	I-PESSOA
393	1	[SEP]	O
394	1	[CLS]	O
395	1	Carvalho	B-PESSOA
396	1	foi	O
397	1	preso	O
398	1	na	O
399	1	operação	O
400	1	[SEP]	O
401	1	[CLS]	O
402	1	A	O
403	1	suspeita	O
404	1	é	O
405	1	de	O
406	1	que	O
407	1	ele	O
408	1	usava	O
409	1	o	O
410	1	clube	O
411	1	de	O
412	1	tiros	O
413	1	como	O
414	1	fachada	O
415	1	para	O
416	1	a	O
417	1	compra	O
418	1	e	O
419	1	venda	O
420	1	ilegal	O
421	1	de	O
422	1	armas	O
423	1	[SEP]	O
424	1	[CLS]	O
425	1	A	O
426	1	polícia	O
427	1	investi	O
428	1	##ga	O
429	1	também	O
430	1	a	O
431	1	abertura	O
432	1	de	O
433	1	contas	O
434	1	no	O
435	1	nome	O
436	1	dos	O
437	1	envolvidos	O
438	1	na	O
439	1	operação	O
440	1	e	O
441	1	ainda	O
442	1	apura	O
443	1	qual	O
444	1	seria	O
445	1	o	O
446	1	papel	O
447	1	do	O
448	1	“	O
449	1	filho	O
450	1	04	O
451	1	”	O
452	1	do	O
453	1	ex	O
454	1	-	O
455	1	presidente	O
456	1	Bols	B-PESSOA
457	1	##ona	B-PESSOA
458	1	##ro	B-PESSOA
459	1	no	O
460	1	esquema	O
461	1	[SEP]	O
462	1	[CLS]	O
463	1	A	O
464	1	investigação	O
465	1	apontou	O
466	1	para	O
467	1	a	O
468	1	existência	O
469	1	de	O
470	1	uma	O
471	1	associação	O
472	1	crimin	O
473	1	##osa	O
474	1	com	O
475	1	três	O
476	1	eixos	O
477	1	,	O
478	1	apura	O
479	1	##dos	O
480	1	pela	O
481	1	CN	B-ORGANIZACAO
482	1	##N	B-ORGANIZACAO
483	1	[SEP]	O
484	1	[CLS]	O
485	1	O	O
486	1	ponto	O
487	1	de	O
488	1	partida	O
489	1	são	O
490	1	empresas	O
491	1	no	O
492	1	nome	O
493	1	de	O
494	1	Marco	B-PESSOA
495	1	Aur	I-PESSOA
496	1	##eli	I-PESSOA
497	1	##o	I-PESSOA
498	1	Rodrigues	I-PESSOA
499	1	[SEP]	O
500	1	[CLS]	O
501	1	Ele	O
502	1	aparece	O
503	1	como	O
504	1	sócio	O
505	1	administrador	O
506	1	da	O
507	1	Academia	B-ORGANIZACAO
508	1	de	I-ORGANIZACAO
509	1	Tiro	I-ORGANIZACAO
510	1	35	I-ORGANIZACAO
511	1	##7	I-ORGANIZACAO
512	1	,	O
513	1	com	O
514	1	capital	O
515	1	social	O
516	1	de	O
517	1	R	O
518	1	$	O
519	1	3	O
520	1	,	O
521	1	5	O
522	1	milhões	O
523	1	,	O
524	1	e	O
525	1	da	O
526	1	R	B-ORGANIZACAO
527	1	##B	B-ORGANIZACAO
528	1	Event	I-ORGANIZACAO
529	1	##os	I-ORGANIZACAO
530	1	e	I-ORGANIZACAO
531	1	M	I-ORGANIZACAO
532	1	##ídia	I-ORGANIZACAO
533	1	L	I-ORGANIZACAO
534	1	##T	I-ORGANIZACAO
535	1	##DA	I-ORGANIZACAO
536	1	,	O
537	1	com	O
538	1	capital	O
539	1	social	O
540	1	no	O
541	1	valor	O
542	1	de	O
543	1	R	O
544	1	$	O
545	1	105	O
546	1	mil	O
547	1	[SEP]	O
548	1	[CLS]	O
549	1	A	O
550	1	Academia	B-ORGANIZACAO
551	1	de	I-ORGANIZACAO
552	1	Tiro	I-ORGANIZACAO
553	1	35	I-ORGANIZACAO
554	1	##7	I-ORGANIZACAO
555	1	foi	O
556	1	aberta	O
557	1	em	O
558	1	2011	B-TEMPO
559	1	,	O
560	1	e	O
561	1	repass	O
562	1	##ada	O
563	1	para	O
564	1	Marco	B-PESSOA
565	1	Aur	I-PESSOA
566	1	##eli	I-PESSOA
567	1	##o	I-PESSOA
568	1	em	O
569	1	202	B-TEMPO
570	1	##1	B-TEMPO
571	1	[SEP]	O
572	1	[CLS]	O
573	1	Já	O
574	1	a	O
575	1	empresa	O
576	1	de	O
577	1	eventos	O
578	1	pertencia	O
579	1	a	O
580	1	Jair	B-PESSOA
581	1	Rena	I-PESSOA
582	1	##n	I-PESSOA
583	1	até	O
584	1	março	B-TEMPO
585	1	de	I-TEMPO
586	1	202	I-TEMPO
587	1	##3	I-TEMPO
588	1	,	O
589	1	quando	O
590	1	também	O
591	1	foi	O
592	1	transferida	O
593	1	para	O
594	1	Marco	B-PESSOA
595	1	Aur	I-PESSOA
596	1	##eli	I-PESSOA
597	1	##o	I-PESSOA
598	1	[SEP]	O
599	1	[CLS]	O
600	1	O	O
601	1	segundo	O
602	1	eixo	O
603	1	apura	O
604	1	##do	O
605	1	pela	O
606	1	CN	B-ORGANIZACAO
607	1	##N	B-ORGANIZACAO
608	1	é	O
609	1	que	O
610	1	os	O
611	1	investigadores	O
612	1	ve	O
613	1	##em	O
614	1	Marco	B-PESSOA
615	1	Aur	I-PESSOA
616	1	##eli	I-PESSOA
617	1	##o	I-PESSOA
618	1	como	O
619	1	um	O
620	1	“	O
621	1	laranja	O
622	1	”	O
623	1	,	O
624	1	para	O
625	1	ocul	O
626	1	##tar	O
627	1	o	O
628	1	verdadeiro	O
629	1	proprietário	O
630	1	das	O
631	1	empresas	O
632	1	de	O
633	1	fachada	O
634	1	[SEP]	O
635	1	[CLS]	O
636	1	“	O
637	1	A	O
638	1	investigação	O
639	1	aponta	O
640	1	que	O
641	1	diversos	O
642	1	suspeito	O
643	1	##s	O
644	1	teriam	O
645	1	dado	O
646	1	vida	O
647	1	a	O
648	1	pessoas	O
649	1	falsas	O
650	1	e	O
651	1	aberto	O
652	1	empresas	O
653	1	visando	O
654	1	obter	O
655	1	vantagem	O
656	1	inde	O
657	1	##vida	O
658	1	financeira	O
659	1	”	O
660	1	,	O
661	1	detal	O
662	1	##hou	O
663	1	o	O
664	1	delegado	O
665	1	à	O
666	1	frente	O
667	1	do	O
668	1	caso	O
669	1	,	O
670	1	Marco	B-PESSOA
671	1	Aurélio	I-PESSOA
672	1	Se	I-PESSOA
673	1	##p	I-PESSOA
674	1	##úl	I-PESSOA
675	1	##ved	I-PESSOA
676	1	##a	I-PESSOA
677	1	[SEP]	O
678	1	[CLS]	O
679	1	De	O
680	1	acordo	O
681	1	com	O
682	1	as	O
683	1	provas	O
684	1	da	O
685	1	investigação	O
686	1	,	O
687	1	Maci	B-PESSOA
688	1	##el	B-PESSOA
689	1	Alves	I-PESSOA
690	1	e	O
691	1	um	O
692	1	de	O
693	1	seus	O
694	1	compar	O
695	1	##sas	O
696	1	fizeram	O
697	1	“	O
698	1	nascer	O
699	1	”	O
700	1	a	O
701	1	falsa	O
702	1	pessoa	O
703	1	de	O
704	1	Antonio	B-PESSOA
705	1	Ama	I-PESSOA
706	1	##nci	I-PESSOA
707	1	##o	I-PESSOA
708	1	Alves	I-PESSOA
709	1	Manda	I-PESSOA
710	1	##r	I-PESSOA
711	1	##rar	I-PESSOA
712	1	##i	I-PESSOA
713	1	,	O
714	1	cuja	O
715	1	identidade	O
716	1	falsa	O
717	1	foi	O
718	1	usada	O
719	1	para	O
720	1	abertura	O
721	1	de	O
722	1	conta	O
723	1	banc	O
724	1	##ária	O
725	1	e	O
726	1	para	O
727	1	figura	O
728	1	##r	O
729	1	como	O
730	1	proprietário	O
731	1	de	O
732	1	pessoas	O
733	1	jurídicas	O
734	1	na	O
735	1	condição	O
736	1	de	O
737	1	“	O
738	1	laranja	O
739	1	”	O
740	1	[SEP]	O
741	1	[CLS]	O
742	1	De	O
743	1	acordo	O
744	1	com	O
745	1	fontes	O
746	1	da	O
747	1	investigação	O
748	1	,	O
749	1	o	O
750	1	compar	O
751	1	##sa	O
752	1	seria	O
753	1	Eduardo	B-PESSOA
754	1	Alves	I-PESSOA
755	1	,	O
756	1	que	O
757	1	teve	O
758	1	mandado	O
759	1	de	O
760	1	prisão	O
761	1	exped	O
762	1	##ido	O
763	1	na	O
764	1	operação	O
765	1	“	O
766	1	Ne	B-OPERACAO
767	1	##xu	I-OPERACAO
768	1	##m	I-OPERACAO
769	1	”	O
770	1	,	O
771	1	mas	O
772	1	não	O
773	1	foi	O
774	1	localizado	O
775	1	e	O
776	1	é	O
777	1	considerado	O
778	1	fora	O
779	1	##gi	O
780	1	##do	O
781	1	[SEP]	O
782	1	[CLS]	O
783	1	A	O
784	1	polícia	O
785	1	deve	O
786	1	ouvir	O
787	1	outras	O
788	1	pessoas	O
789	1	ligadas	O
790	1	às	O
791	1	empresas	O
792	1	nos	O
793	1	próximos	O
794	1	dias	O
795	1	[SEP]	O
796	1	[CLS]	O
797	1	O	O
798	1	que	O
799	1	dizem	O
800	1	os	O
801	1	envolvidos	O
802	1	##A	O
803	1	defesa	O
804	1	de	O
805	1	Jair	B-PESSOA
806	1	Rena	I-PESSOA
807	1	##n	I-PESSOA
808	1	disse	O
809	1	que	O
810	1	ele	O
811	1	está	O
812	1	sur	O
813	1	##pres	O
814	1	##o	O
815	1	com	O
816	1	a	O
817	1	operação	O
818	1	,	O
819	1	e	O
820	1	absolutamente	O
821	1	tranquil	O
822	1	##o	O
823	1	com	O
824	1	o	O
825	1	ocorrido	O
826	1	[SEP]	O
827	1	[CLS]	O
828	1	O	O
829	1	advogado	O
830	1	de	O
831	1	Maci	B-PESSOA
832	1	##el	B-PESSOA
833	1	Alves	I-PESSOA
834	1	informou	O
835	1	que	O
836	1	ainda	O
837	1	não	O
838	1	teve	O
839	1	acesso	O
840	1	aos	O
841	1	auto	O
842	1	##s	O
843	1	,	O
844	1	e	O
845	1	se	O
846	1	pronuncia	O
847	1	##rá	O
848	1	depois	O
849	1	[SEP]	O
850	1	[CLS]	O
851	1	A	O
852	1	CN	B-ORGANIZACAO
853	1	##N	B-ORGANIZACAO
854	1	tentou	O
855	1	contato	O
856	1	com	O
857	1	Marco	B-PESSOA
858	1	Aur	I-PESSOA
859	1	##eli	I-PESSOA
860	1	##o	I-PESSOA
861	1	Rodrigues	I-PESSOA
862	1	por	O
863	1	meio	O
864	1	de	O
865	1	telefone	O
866	1	##s	O
867	1	da	O
868	1	Academia	B-ORGANIZACAO
869	1	de	I-ORGANIZACAO
870	1	Tiro	I-ORGANIZACAO
871	1	35	I-ORGANIZACAO
872	1	##7	I-ORGANIZACAO
873	1	,	O
874	1	mas	O
875	1	não	O
876	1	obteve	O
877	1	sucesso	O
878	1	[SEP]	O
879	1	[CLS]	O
880	1	O	O
881	1	espaço	O
882	1	segue	O
883	1	aberto	O
884	1	para	O
885	1	manifestação	O
886	1	da	O
887	1	defesa	O
888	1	[SEP]	O
889	2	[CLS]	O
890	2	A	O
891	2	constru	B-ORGANIZACAO
892	2	##tora	B-ORGANIZACAO
893	2	Novo	I-ORGANIZACAO
894	2	##nor	I-ORGANIZACAO
895	2	,	O
896	2	antiga	O
897	2	Od	B-ORGANIZACAO
898	2	##eb	B-ORGANIZACAO
899	2	##rec	B-ORGANIZACAO
900	2	##ht	B-ORGANIZACAO
901	2	,	O
902	2	ainda	O
903	2	deve	O
904	2	ao	O
905	2	governo	O
906	2	da	O
907	2	Colômbia	B-LOCAL
908	2	mais	O
909	2	de	O
910	2	49	O
911	2	##4	O
912	2	bilhões	O
913	2	de	O
914	2	pesos	O
915	2	colomb	O
916	2	##ianos	O
917	2	(	O
918	2	cerca	O
919	2	de	O
920	2	US	O
921	2	$	O
922	2	119	O
923	2	,	O
924	2	6	O
925	2	milhões	O
926	2	)	O
927	2	por	O
928	2	danos	O
929	2	causados	O
930	2	por	O
931	2	um	O
932	2	esquema	O
933	2	de	O
934	2	corrupção	O
935	2	de	O
936	2	anos	O
937	2	envolvendo	O
938	2	políticos	O
939	2	de	O
940	2	alto	O
941	2	escal	O
942	2	##ão	O
943	2	,	O
944	2	informou	O
945	2	a	O
946	2	procurador	B-ORGANIZACAO
947	2	##ia	B-ORGANIZACAO
948	2	-	I-ORGANIZACAO
949	2	geral	I-ORGANIZACAO
950	2	do	I-ORGANIZACAO
951	2	país	I-ORGANIZACAO
952	2	na	O
953	2	quinta	B-TEMPO
954	2	-	I-TEMPO
955	2	feira	I-TEMPO
956	2	(	O
957	2	17	B-TEMPO
958	2	)	O
959	2	[SEP]	O
960	2	[CLS]	O
961	2	Procura	O
962	2	##da	O
963	2	pela	O
964	2	CN	B-ORGANIZACAO
965	2	##N	B-ORGANIZACAO
966	2	,	O
967	2	a	O
968	2	empresa	O
969	2	diz	O
970	2	que	O
971	2	,	O
972	2	por	O
973	2	meio	O
974	2	dos	O
975	2	seus	O
976	2	advogados	O
977	2	,	O
978	2	“	O
979	2	avalia	O
980	2	o	O
981	2	teor	O
982	2	do	O
983	2	anúncio	O
984	2	realizado	O
985	2	pela	O
986	2	autoridade	O
987	2	colomb	O
988	2	##iana	O
989	2	,	O
990	2	de	O
991	2	que	O
992	2	pretende	O
993	2	##ria	O
994	2	iniciar	O
995	2	um	O
996	2	procedimento	O
997	2	para	O
998	2	imp	O
999	2	##uta	O
1000	2	##r	O
1001	2	fatos	O
1002	2	supostamente	O
1003	2	del	O
1004	2	##itu	O
1005	2	##osos	O
1006	2	a	O
1007	2	colaboradores	O
1008	2	vincul	O
1009	2	##ados	O
1010	2	à	O
1011	2	empresa	O
1012	2	”	O
1013	2	,	O
1014	2	e	O
1015	2	que	O
1016	2	“	O
1017	2	análises	O
1018	2	apontam	O
1019	2	para	O
1020	2	um	O
1021	2	cenário	O
1022	2	de	O
1023	2	potencial	O
1024	2	ilegal	O
1025	2	##idade	O
1026	2	de	O
1027	2	iniciativas	O
1028	2	de	O
1029	2	pers	O
1030	2	##ecução	O
1031	2	a	O
1032	2	colaboradores	O
1033	2	”	O
1034	2	(	O
1035	2	ve	O
1036	2	##ja	O
1037	2	nota	O
1038	2	completa	O
1039	2	abaixo	O
1040	2	)	O
1041	2	[SEP]	O
1042	2	[CLS]	O
1043	2	Em	O
1044	2	dezembro	B-TEMPO
1045	2	de	I-TEMPO
1046	2	202	I-TEMPO
1047	2	##0	I-TEMPO
1048	2	,	O
1049	2	o	O
1050	2	regula	O
1051	2	##dor	O
1052	2	de	O
1053	2	comércio	O
1054	2	da	O
1055	2	Colômbia	B-LOCAL
1056	2	também	O
1057	2	emitiu	O
1058	2	multa	O
1059	2	##s	O
1060	2	no	O
1061	2	valor	O
1062	2	total	O
1063	2	de	O
1064	2	29	O
1065	2	##5	O
1066	2	,	O
1067	2	1	O
1068	2	bilhões	O
1069	2	de	O
1070	2	pesos	O
1071	2	(	O
1072	2	US	O
1073	2	$	O
1074	2	84	O
1075	2	,	O
1076	2	5	O
1077	2	milhões	O
1078	2	na	O
1079	2	época	O
1080	2	)	O
1081	2	contra	O
1082	2	membros	O
1083	2	de	O
1084	2	um	O
1085	2	consórcio	O
1086	2	liderado	O
1087	2	pela	O
1088	2	Od	B-ORGANIZACAO
1089	2	##eb	B-ORGANIZACAO
1090	2	##rec	B-ORGANIZACAO
1091	2	##ht	B-ORGANIZACAO
1092	2	por	O
1093	2	quebrar	O
1094	2	regras	O
1095	2	de	O
1096	2	concorrência	O
1097	2	[SEP]	O
1098	2	[CLS]	O
1099	2	A	O
1100	2	Od	B-ORGANIZACAO
1101	2	##eb	B-ORGANIZACAO
1102	2	##rec	B-ORGANIZACAO
1103	2	##ht	B-ORGANIZACAO
1104	2	esteve	O
1105	2	no	O
1106	2	centro	O
1107	2	do	O
1108	2	maior	O
1109	2	escândalo	O
1110	2	de	O
1111	2	corrupção	O
1112	2	da	O
1113	2	América	B-LOCAL
1114	2	Latina	I-LOCAL
1115	2	desde	O
1116	2	que	O
1117	2	admitiu	O
1118	2	em	O
1119	2	2016	B-TEMPO
1120	2	ter	O
1121	2	sub	O
1122	2	##orn	O
1123	2	##ado	O
1124	2	autoridades	O
1125	2	em	O
1126	2	dezenas	O
1127	2	de	O
1128	2	países	O
1129	2	[SEP]	O
1130	2	[CLS]	O
1131	2	A	O
1132	2	empresa	O
1133	2	mudou	O
1134	2	seu	O
1135	2	nome	O
1136	2	em	O
1137	2	202	B-TEMPO
1138	2	##0	B-TEMPO
1139	2	para	O
1140	2	Novo	B-ORGANIZACAO
1141	2	##nor	B-ORGANIZACAO
1142	2	em	O
1143	2	uma	O
1144	2	reformulação	O
1145	2	de	O
1146	2	marca	O
1147	2	após	O
1148	2	o	O
1149	2	escândalo	O
1150	2	de	O
1151	2	corrupção	O
1152	2	[SEP]	O
1153	2	[CLS]	O
1154	2	Na	O
1155	2	Colômbia	B-LOCAL
1156	2	,	O
1157	2	a	O
1158	2	empresa	O
1159	2	pagou	O
1160	2	cerca	O
1161	2	de	O
1162	2	US	O
1163	2	$	O
1164	2	30	O
1165	2	milhões	O
1166	2	em	O
1167	2	prop	O
1168	2	##inas	O
1169	2	em	O
1170	2	troca	O
1171	2	de	O
1172	2	contratos	O
1173	2	de	O
1174	2	infraestrutura	O
1175	2	,	O
1176	2	segundo	O
1177	2	investigações	O
1178	2	da	O
1179	2	procurador	B-ORGANIZACAO
1180	2	##ia	B-ORGANIZACAO
1181	2	-	I-ORGANIZACAO
1182	2	geral	I-ORGANIZACAO
1183	2	da	I-ORGANIZACAO
1184	2	Colômbia	I-ORGANIZACAO
1185	2	[SEP]	O
1186	2	[CLS]	O
1187	2	Um	O
1188	2	relatório	O
1189	2	do	O
1190	2	gabinete	O
1191	2	da	O
1192	2	procurador	O
1193	2	##ia	O
1194	2	disse	O
1195	2	que	O
1196	2	19	O
1197	2	bilhões	O
1198	2	de	O
1199	2	pesos	O
1200	2	foram	O
1201	2	recuperado	O
1202	2	##s	O
1203	2	de	O
1204	2	um	O
1205	2	total	O
1206	2	de	O
1207	2	51	O
1208	2	##4	O
1209	2	bilhões	O
1210	2	de	O
1211	2	pesos	O
1212	2	em	O
1213	2	danos	O
1214	2	[SEP]	O
1215	2	[CLS]	O
1216	2	A	O
1217	2	Od	B-ORGANIZACAO
1218	2	##eb	B-ORGANIZACAO
1219	2	##rec	B-ORGANIZACAO
1220	2	##ht	B-ORGANIZACAO
1221	2	foi	O
1222	2	premiada	O
1223	2	com	O
1224	2	um	O
1225	2	contrato	O
1226	2	na	O
1227	2	Colômbia	B-LOCAL
1228	2	para	O
1229	2	a	O
1230	2	construção	O
1231	2	de	O
1232	2	uma	O
1233	2	rodovia	O
1234	2	de	O
1235	2	52	O
1236	2	##8	O
1237	2	km	O
1238	2	em	O
1239	2	2010	B-TEMPO
1240	2	,	O
1241	2	um	O
1242	2	acordo	O
1243	2	de	O
1244	2	US	O
1245	2	$	O
1246	2	1	O
1247	2	bilhão	O
1248	2	(	O
1249	2	cerca	O
1250	2	de	O
1251	2	R	O
1252	2	$	O
1253	2	1	O
1254	2	,	O
1255	2	7	O
1256	2	bilhão	O
1257	2	na	O
1258	2	co	O
1259	2	##tação	O
1260	2	da	O
1261	2	época	O
1262	2	)	O
1263	2	que	O
1264	2	ganhou	O
1265	2	com	O
1266	2	o	O
1267	2	pagamento	O
1268	2	de	O
1269	2	prop	O
1270	2	##inas	O
1271	2	,	O
1272	2	segundo	O
1273	2	os	O
1274	2	promotor	O
1275	2	##es	O
1276	2	[SEP]	O
1277	2	[CLS]	O
1278	2	Lei	O
1279	2	##a	O
1280	2	a	O
1281	2	ínt	O
